t	x_d	y_d	theta_d	Vr	oz	Vdot
0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.000000
0.100000	0.020000	0.000000	0.000000	0.200000	0.000000	0.000000
0.200000	0.040000	0.000000	0.000000	0.200000	0.000000	0.000000
0.300000	0.060000	0.000000	0.000000	0.200000	0.000000	0.000000
0.400000	0.080000	0.000000	0.000000	0.200000	0.000000	0.000000
0.500000	0.100000	0.000000	0.000000	0.200000	0.000000	0.000000
0.600000	0.120000	0.000000	0.000000	0.200000	0.000000	0.000000
0.700000	0.140000	0.000000	0.000000	0.200000	0.000000	0.000000
0.800000	0.160000	0.000000	0.000000	0.200000	0.000000	0.000000
0.900000	0.180000	0.000000	0.000000	0.200000	0.000000	0.000000
1.000000	0.200000	0.000000	0.000000	0.200000	0.000000	0.000000
1.100000	0.220000	0.000000	0.000000	0.200000	0.000000	0.000000
1.200000	0.240000	0.000000	0.000000	0.200000	0.000000	0.000000
1.300000	0.260000	0.000000	0.000000	0.200000	0.000000	0.000000
1.400000	0.280000	0.000000	0.000000	0.200000	0.000000	0.000000
1.500000	0.300000	0.000000	0.000000	0.200000	0.000000	0.000000
1.600000	0.320000	0.000000	0.000000	0.200000	0.000000	0.000000
1.700000	0.340000	0.000000	0.000000	0.200000	0.000000	0.000000
1.800000	0.360000	0.000000	0.000000	0.200000	0.000000	0.000000
1.900000	0.380000	0.000000	0.000000	0.200000	0.000000	0.000000
2.000000	0.400000	0.000000	0.000000	0.200000	0.000000	0.000000
2.100000	0.420000	0.000000	0.000000	0.200000	0.000000	0.000000
2.200000	0.440000	0.000000	0.000000	0.200000	0.000000	0.000000
2.300000	0.460000	0.000000	0.000000	0.200000	0.000000	0.000000
2.400000	0.480000	0.000000	0.000000	0.200000	0.000000	0.000000
2.500000	0.500000	0.000000	0.000000	0.200000	0.000000	0.000000
2.600000	0.520000	0.000000	0.000000	0.200000	0.000000	0.000000
2.700000	0.540000	0.000000	0.000000	0.200000	0.000000	0.000000
2.800000	0.560000	0.000000	0.000000	0.200000	0.000000	0.000000
2.900000	0.580000	0.000000	0.000000	0.200000	0.000000	0.000000
3.000000	0.600000	0.000000	0.000000	0.200000	0.000000	0.000000
3.100000	0.620000	0.000000	0.000000	0.200000	0.000000	0.000000
3.200000	0.640000	0.000000	0.000000	0.200000	0.000000	0.000000
3.300000	0.660000	0.000000	0.000000	0.200000	0.000000	0.000000
3.400000	0.680000	0.000000	0.000000	0.200000	0.000000	0.000000
3.500000	0.700000	0.000000	0.000000	0.200000	0.000000	0.000000
3.600000	0.720000	0.000000	0.000000	0.200000	0.000000	0.000000
3.700000	0.740000	0.000000	0.000000	0.200000	0.000000	0.000000
3.800000	0.760000	0.000000	0.000000	0.200000	0.000000	0.000000
3.900000	0.780000	0.000000	0.000000	0.200000	0.000000	0.000000
4.000000	0.800000	0.000000	0.000000	0.200000	0.000000	0.000000
4.100000	0.820000	0.000000	0.000000	0.200000	0.000000	0.000000
4.200000	0.840000	0.000000	0.000000	0.200000	0.000000	0.000000
4.300000	0.860000	0.000000	0.000000	0.200000	0.000000	0.000000
4.400000	0.880000	0.000000	0.000000	0.200000	0.000000	0.000000
4.500000	0.900000	0.000000	0.000000	0.200000	0.000000	0.000000
4.600000	0.920000	0.000000	0.000000	0.200000	0.000000	0.000000
4.700000	0.940000	0.000000	0.000000	0.200000	0.000000	0.000000
4.800000	0.960000	0.000000	0.000000	0.200000	0.000000	0.000000
4.900000	0.980000	0.000000	0.000000	0.200000	0.000000	0.000000
5.000000	1.000000	0.000000	0.000000	0.200000	0.000000	0.000000
5.100000	1.020000	0.000000	0.000000	0.200000	0.000000	0.000000
5.200000	1.040000	0.000000	0.000000	0.200000	0.000000	0.000000
5.300000	1.060000	0.000000	0.000000	0.200000	0.000000	0.000000
5.400000	1.080000	0.000000	0.000000	0.200000	0.000000	0.000000
5.500000	1.100000	0.000000	0.000000	0.200000	0.000000	0.000000
5.600000	1.120000	0.000000	0.000000	0.200000	0.000000	0.000000
5.700000	1.140000	0.000000	0.000000	0.200000	0.000000	0.000000
5.800000	1.160000	0.000000	0.000000	0.200000	0.000000	0.000000
5.900000	1.180000	0.000000	0.000000	0.200000	0.000000	0.000000
6.000000	1.200000	0.000000	0.000000	0.200000	0.000000	0.000000
6.100000	1.220000	0.000000	0.000000	0.200000	0.000000	0.000000
6.200000	1.240000	0.000000	0.000000	0.200000	0.000000	0.000000
6.300000	1.260000	0.000000	0.000000	0.200000	0.000000	0.000000
6.400000	1.280000	0.000000	0.000000	0.200000	0.000000	0.000000
6.500000	1.300000	0.000000	0.000000	0.200000	0.000000	0.000000
6.600000	1.320000	0.000000	0.000000	0.200000	0.000000	0.000000
6.700000	1.340000	0.000000	0.000000	0.200000	0.000000	0.000000
6.800000	1.360000	0.000000	0.000000	0.200000	0.000000	0.000000
6.900000	1.380000	0.000000	0.000000	0.200000	0.000000	0.000000
7.000000	1.400000	0.000000	0.000000	0.200000	0.000000	0.000000
7.100000	1.420000	0.000000	0.000000	0.200000	0.000000	0.000000
7.200000	1.440000	0.000000	0.000000	0.200000	0.000000	0.000000
7.300000	1.460000	0.000000	0.000000	0.200000	0.000000	0.000000
7.400000	1.480000	0.000000	0.000000	0.200000	0.000000	0.000000
7.500000	1.500000	0.000000	0.000000	0.200000	0.000000	0.000000
7.600000	1.520000	0.000000	0.000000	0.200000	0.000000	0.000000
7.700000	1.540000	0.000000	0.000000	0.200000	0.000000	0.000000
7.800000	1.560000	0.000000	0.000000	0.200000	0.000000	0.000000
7.900000	1.580000	0.000000	0.000000	0.200000	0.000000	0.000000
8.000000	1.600000	0.000000	0.000000	0.200000	0.000000	0.000000
8.100000	1.620000	0.000000	0.000000	0.200000	0.000000	0.000000
8.200000	1.640000	0.000000	0.000000	0.200000	0.000000	0.000000
8.300000	1.660000	0.000000	0.000000	0.200000	0.000000	0.000000
8.400000	1.680000	0.000000	0.000000	0.200000	0.000000	0.000000
8.500000	1.700000	0.000000	0.000000	0.200000	0.000000	0.000000
8.600000	1.720000	0.000000	0.000000	0.200000	0.000000	0.000000
8.700000	1.740000	0.000000	0.000000	0.200000	0.000000	0.000000
8.800000	1.760000	0.000000	0.000000	0.200000	0.000000	0.000000
8.900000	1.780000	0.000000	0.000000	0.200000	0.000000	0.000000
9.000000	1.800000	0.000000	0.000000	0.200000	0.000000	0.000000
9.100000	1.820000	0.000000	0.000000	0.200000	0.000000	0.000000
9.200000	1.840000	0.000000	0.000000	0.200000	0.000000	0.000000
9.300000	1.860000	0.000000	0.000000	0.200000	0.000000	0.000000
9.400000	1.880000	0.000000	0.000000	0.200000	0.000000	0.000000
9.500000	1.900000	0.000000	0.000000	0.200000	0.000000	0.000000
9.600000	1.920000	0.000000	0.000000	0.200000	0.000000	0.000000
9.700000	1.940000	0.000000	0.000000	0.200000	0.000000	0.000000
9.800000	1.960000	0.000000	0.000000	0.200000	0.000000	0.000000
9.900000	1.980000	0.000000	0.000000	0.200000	0.000000	0.000000
10.000000	2.000000	0.000000	0.000000	0.200000	0.000000	0.000000
10.100000	2.020000	0.000000	0.000000	0.200000	0.000000	0.000000
